County Code,Deaths_per_100k,Number of Substance Use Facilities (As of March 2023),TotActiveMDs,Number of Mental Health Facilities (As of March 2023),MDsPerCapita,Urbanicity,Social Resilience Score,Economic Risk Score,Social Risk Score,Economic Resilience Score,Prosperity Index Score,lat,lng,% of households with broadband internet connection,ACS Total Population,Median Household Income,Percent of Popualtion Employed in Construction,Percent of Popualtion Employed in Manufacturing,Percent of Popualtion Employed in Mining and Natural Resources,Percent of Popualtion Employed in Trade Transporation and Utilities,Percent of Popualtion Employed in Trade Transportation and Utilities,Percent of Populaiton Black (non-Hispanic),Percent of Population 65+,Percent of Population Aged 15 to 64,Percent of Population Aged 25+ who Have a Bachelor's Degree or More,Percent of Population Aged 25+ who Have at Least a High School Diploma,Percent of Population Asian (non-Hispanic),Percent of Population Hispanic or Latino,Percent of Population Native American/Alaska Native (non-Hispanic),Percent of Population Native Hawaiian/Pacific Islander,Percent of Population Under 15,Percent of Population White (non-Hispanic),Percent of Residents with a Disability (Aged 18-64),Poverty Rate,Unemployment Rate
8091,,-0.3539783974,-0.3078124895,-0.3755663114,-0.8283304272,0,-1.967017473,-1.598058877,-1.449126692,-2.121737696,-1.725484107,38.1555,-107.7693,1.521750258,-0.2986113348,1.071117058,1.599002648,-0.7270568655,0.4015061813,-1.335906241,-1.500889574,-0.5908569429,2.066179979,-0.430121879,3.068142285,1.922263621,-0.2925948018,-0.376693341,-0.1868171309,-0.1347426452,-2.551372396,0.8069887245,-1.357410382,-1.539833237,-0.04216175871
8093,,-0.3539783974,-0.3078124895,-0.1154094738,-0.8283304272,1,-1.108900648,-0.6914650144,-1.449126692,-1.23765692,-1.725484107,39.1194,-105.7172,1.548100126,-0.2616881154,1.232912859,2.200766346,-0.7917788795,-0.5170393439,-0.5600274796,-0.9976231217,-0.6077885182,-0.1883967265,1.648726831,1.159637698,1.630998215,-0.09899848777,-0.245142281,-0.1567039548,0.593819573,-1.75449944,0.6536625565,-0.9143663515,-1.407551354,-0.4910306828
8095,,-0.265109748,-0.3078124895,-0.2454878926,-0.8283304272,0,-1.967017473,0.2151288487,0.2127497474,-1.23765692,-0.8621935845,40.594,-102.3576,0.06567608325,-0.2993799913,-0.2886664017,-0.4881554555,-1.042534326,2.340478161,0.07002346624,0.7967153442,-0.6098759727,0.1662051412,-1.208101505,-0.01178675495,0.1609769726,-0.3009087539,1.147045195,-0.2204730335,-0.1584357255,1.244701727,-0.1669563709,-0.610287228,-0.119027832,-1.263895221
8097,,-0.265109748,-0.223442118,-0.3755663114,0.8723142981,0,-1.967017473,0.2151288487,-1.449126692,-2.121737696,-1.725484107,39.2171,-106.9166,1.954083273,-0.2593975396,2.099283681,0.04426000936,-1.088619111,-0.5946629094,-1.584561362,-1.739941139,-0.5762447614,-0.3747129621,1.783988167,4.202948394,1.608876792,0.1409184167,0.05960542616,-0.2009880373,-0.1406659153,-1.643542446,0.3990049015,-1.747408668,-1.278535691,-0.6800281245
8099,,-0.1762410986,-0.223442118,-0.2454878926,1.633129044,0,-0.2507838241,1.121722712,0.2127497474,-0.3535761429,0.001096938403,37.9552,-102.3934,0.7527244873,-0.2754346487,-0.8077749778,-0.261095919,-0.4264891882,0.9799095549,0.03824048085,0.08052846999,-0.5804196704,-0.3596874593,-0.3956256995,-0.6263223316,-0.7565353903,-0.2688406528,2.063493082,-0.1854886084,-0.1584357255,1.023908517,-0.8295978489,0.901890035,0.7448871787,0.3189583531
8101,2.081338717,0.5347080967,0.6483850544,0.53498262,1.257197052,1,-0.2507838241,0.2151288487,0.2127497474,0.5305046338,0.001096938403,38.1735,-104.5127,-1.453507651,0.1895553119,-0.3825894847,0.4267938097,-0.4159845681,-0.6011315398,-0.03841260159,-0.2553051048,-0.4980811875,-0.1485791439,0.01832845414,0.09988106664,0.3943053175,-0.2284585996,2.463535691,-0.1673321346,-0.0873564847,0.1978953407,-1.208511163,0.7584423895,0.4901220716,0.7475775513
8103,,-0.265109748,-0.2796890323,-0.3755663114,0.6654522497,0,-1.108900648,-0.6914650144,-1.449126692,-1.23765692,-1.725484107,39.9798,-108.2171,1.305095789,-0.292508264,0.5776791034,1.105735379,-1.009326172,2.777110717,-1.434994372,-1.469919331,-0.5903930641,-0.8051936194,0.4449917265,0.1872575114,0.8556950017,-0.3947376423,0.1130097671,-0.1040058967,-0.07550994456,0.6529310932,0.4342217461,-0.9016652579,-0.46579145,-0.4944056371
8105,,-0.1762410986,-0.2515655751,0.01466894494,0.883254118,0,-1.108900648,-0.6914650144,0.2127497474,-1.23765692,-0.8621935845,37.5825,-106.3832,-0.05143444017,-0.2770232739,-0.5787899951,-0.4378220607,-0.7968617601,2.975482052,0.03076213134,-0.1749760365,-0.5908569429,0.1714640672,-0.4746037946,0.2945746387,-0.0944727955,-0.3935499348,2.568629555,-0.115962599,0.06664853704,0.3301471111,-1.193726733,-0.06414020265,0.2658416781,0.378582546
8107,,-0.08737244915,-0.1109482893,-0.2454878926,2.074699955,0,-1.967017473,-0.6914650144,-1.449126692,-2.121737696,-1.725484107,40.4851,-106.9913,1.714982621,-0.2387690165,1.440809452,1.601239688,-1.068287588,-0.102507942,-0.5656362417,-0.4324161832,-0.5808835492,-1.159795487,2.313232183,3.06741717,1.672080858,-0.04080082282,-0.1630759772,-0.214273262,-0.1347426452,-1.125743142,0.5958537737,-1.604708145,-1.065687065,-1.034398328
8109,,-0.265109748,-0.2796890323,-0.2454878926,0.7619215704,0,-0.2507838241,-0.6914650144,-0.6181884721,-0.3535761429,-0.8621935845,38.0805,-106.2815,-0.01727720418,-0.2936361057,-0.932887613,-0.6816593954,-0.8378636643,3.634204253,-0.8255088871,-0.5804926585,-0.5797238522,0.3788160069,-0.3647606968,0.4033419974,-0.6759502057,-0.1096878548,2.136250373,-0.1305763462,-0.1584357255,-0.1170431974,-0.9678073525,0.39608766,0.892411418,0.7532024751
